character,games,turns,first_actual_year,last_actual_year,community,top_partners
Adon,5,49,2006,2006,2,Dorocleo (2); alucard (1); Anarion (1); Artax (1); Bauster (1); Bortek (1); Christof (1); Desdemona (1); Dominique (1); Elwe (1); Enrick (1); Gwayne (1); Ishin (1); Jagor (1); Keleldur (1)
Adrian,1,7,2007,2007,5,Garret (1); Keleldur (1); Kyan (1); Nefibi (1); Nightbreeze (1); Srealp (1)
Adrien,2,16,2007,2007,2,Aureliano (1); Garr (1); Harriet (1); Jeanne (1); Kered (1); Lendrin (1); Lhiaong (1); Zanner (1); Amlaric (1); Anarion (1); Gawyn (1); Jan (1); Mirael (1); Steel (1)
Adrienne,6,45,2008,2009,0,Manwe (4); Edwar (3); Tony (2); Bill (2); Emile (1); Liendre (1); Tik (1); Ailin (1); Aranel (1); Axia (1); Fortescue (1); Habel (1); Juliette (1); Mathias (1); Philippe (1)
Adua,1,5,2004,2004,3,Isthar (1); Serpenera (1); Vahn (1)
Aelistrae,2,8,2009,2009,0,Thorck (2); Dadox (1); Maximilian (1); Kherk (1)
Aelric,1,6,2025,2025,3,Maseeri (1); Vahn (1)
Afnor,4,16,2007,2008,1,merlinho (2); Elisil (2); Aranel (2); Alcalime (1); Geafried (1); Isilme (1); Malwin (1); Zahet (1); Ago (1); Axia (1); Fortescue (1); Loto (1); Mankok (1); Phemt (1); Saval (1)
Agarawen,1,9,2007,2007,1,Asgard (1); Daerithas (1); Desdemona (1); Keric (1); Khiber (1); Silvereth (1); Verelath (1); Voltan (1); Ylerei (1)
Agares,1,3,2006,2006,2,Imhrien (1); Melwen (1); Wonderela (1)
Ages,1,8,2008,2008,1,Daerithas (1); Dajemona (1); Delereth (1); Elsah (1); Guts (1); Johel (1); Velenofonte (1); Voltan (1)
Aginor,1,14,2008,2008,4,Midhriel (1)
Aglae,3,43,2004,2004,4,Aneesha (2); charis (2); Danyfer (2); Esgaloth (2); Ester (2); Finarfin (2); Istar (2); Lucrezia (2); Mynoth (2); Silmarien (2); Ylerei (2); Cagliostro (1); Cassandra (1); Han (1); Owyn (1)
Ago,7,77,2007,2008,1,Lisith (2); Zedar (2); Ariel (2); Voltan (2); Axia (2); Arkhemos (1); Baltor (1); Bea (1); deargh (1); Dofa (1); Ellenroh (1); Ercoca (1); Eufrasia (1); Genji (1); Gudegar (1)
Agron,1,6,2008,2008,1,Alcalime (1); Aranel (1); Caillean (1); Elimar (1); Guts (1); Harad (1); Hennet (1); william (1)
Aheg,4,50,2007,2008,2,Achitia (2); Eufrasia (2); Fortescue (2); Steel (2); Euridas (2); Ducan (1); Gawyn (1); Ireth (1); Mirael (1); Adema (1); Stige (1)
Aibell,1,14,2013,2013,0,Delios (1); Izayoi (1); Khalux (1)
Ailin,82,800,2007,2019,1,Aranel (30); merlinho (17); Dajemona (14); Skan (11); Fortescue (11); Loxis (9); Arioch (8); Alcalime (7); Elimar (7); Hennet (7); Kiol (4); Arphenix (4); Ramyr (4); Harad (4); Monfort (4)
Aisha,23,258,2006,2013,1,Bauster (7); Mhikal (4); Anarion (3); Habel (3); Maximilian (3); Celine (3); Nicodemus (3); Maseeri (2); Dadox (2); Khael (2); Axia (2); Moradin (2); Euridas (2); Dareon (2); Jeko (2)
Akan,5,63,2004,2007,3,Nordus (3); Ascher (1); Brewar (1); Fanari (1); FortuneShadow (1); Isthar (1); NajibBenAdil (1); Rajid (1); Shalilah (1); Sharzog (1); ThamiorLothain (1); Vahn (1); Adema (1); Bauster (1); Ducan (1)
Aki,1,1,2006,2006,4,Ananke (1); Dumba (1); Ermengarda (1); Floidua (1); Merenwen (1); Oltar (1); Shimal (1); Spidy (1)
Akuma,12,88,2010,2026,3,Maseeri (7); Vahn (6); Keleldur (4); Ariel (3); Amlach (2); Carcinero (2); Lenian (2); Lilium (2); Mynoth (2); Kaelen (2); Corwin (1); Skan (1); Ada (1); Cerden (1); Dargh (1)
Alagheiron,1,4,2008,2008,5,Baltor (1); Elingard (1); Langdal (1); Leilai (1); Loriel (1); Nuldest (1); Zanner (1)
Alanna,3,24,2013,2013,0,Khalux (2); Andriy (1); Arioch (1); Khira (1); Musang (1); Nyden (1)
Alarion,1,9,2007,2007,5,Anduriel (1); Callisto (1); Norman (1)
Alastor,4,59,2004,2007,4,Xebox (4); Keylan (3); Morganas (3); Rhyannor (3); Soraya (3); Wiliand (3); Ayla (2); Conner (2); Edgewood (2); Eorinan (2); Gween (2); Loki (2); Malduin (2); Maseeri (2); Midhriel (2)
Alastorm,4,35,2008,2008,2,Vein (3); Francislake (2); Keleldur (2); Mardok (2); Samiel (2); Thomas (2); Tuco (2); Zahet (2); Ambalar (1); Arendhil (1); Ashira (1); Khael (1)
Alatriel,3,9,2009,2009,7,Elegost (3); Vhelia (3); Edric (1); Francislake (1)
Albus,3,5,2006,2008,5,Bartech (2); deargh (2); Federicis (2); Fibi (2); Helendil (2); Imhrien (2); Iversonn (2); Janas (2); Kishi (2); Rangal (2); Silde (2); Tieryn (2); Tilla (2); Ailin (1); Dajemona (1)
Alcalime,47,694,2006,2009,1,merlinho (22); Aranel (15); Loxis (12); Hennet (11); Ailin (7); Baltor (6); Dajemona (6); Rhoan (5); Skan (5); Fortescue (5); Rodney (4); Frade (4); Naiiky (4); Riukkiu (4); Arendhil (4)
Alcarinque,6,61,2009,2009,7,Stige (5); Elegost (3); Guineth (3); Adema (2); Gamuran (2); Arioch (2); Skan (2); Tyrus (2); Izayoi (1); Sekmeth (1); Elbereth (1); merlinho (1); Brianna (1); Malantio (1)
Aldaran,1,1,2004,2004,3,Han (1); Mothgaur (1)
Aldarico,1,2,,,2,Ambalar (1); Aranel (1); Lenian (1); Thorck (1); Urulex (1)
Aldenar,1,5,2004,2004,4,Eshtar (1); Vahn (1)
Aleisha,1,14,2007,2007,3,Mogan (1)
Aleleres,1,2,2006,2006,6,Adhanedhel (1); Alisa (1); Ambry (1); Aouda (1); Ariel (1); Arthas (1); Arwin (1); Deving (1); Emelaine (1); Ervine (1); Galadriell (1); Ifrid (1); Jose (1); Kenny (1); Lalique (1)
Alerik,34,473,2004,2026,3,Vahn (14); Lilithas (14); Isthar (8); Melisandre (8); Maseeri (5); Leivin (5); Corwin (4); Mogan (4); Anthony (3); Caidath (3); Mirael (3); ThamiorLothain (3); Shaenlyr (3); Elrik (3); Lyath (3)
Aleris,4,22,2025,2025,2,Euridas (3); SiannaLeFair (2); Adema (1); Demios (1); Etain (1); Francislake (1)
Ales,1,3,2006,2006,5,Artemys (1); Atanvarnie (1); Benjamin (1); Bohann (1); Cardias (1); Ferarius (1); Fibi (1); Helen (1); Kerixon (1); Langdal (1); Nightbreeze (1); Orghan (1)
Alester,4,28,2011,2014,0,Claymore (4); Aries (3); Luinil (3); merlinho (3); Carcinero (2); Katon (2); Ortenzio (2); Thamior (2); Francislake (2); Laurens (1); Adanriel (1); Coral (1); Domenique (1); Eadril (1); Erebo (1)
Alexander,17,190,2005,2012,1,Loxis (7); Rhyannor (5); Fortescue (3); merlinho (3); Orione (3); Ireth (2); Teclis (2); Imhrien (2); Aranel (2); Arendhil (2); Dajemona (2); Skan (2); Ylerei (2); Abela (2); Hyreen (2)
Alexandrum,1,3,2006,2006,4,Adema (1); Anthony (1); Loriel (1); Owyn (1); Sealyan (1)
AlexDeLarge,1,19,2004,2004,3,Isthar (1); Qoelet (1); ThamiorLothain (1); Vahn (1)
Alexiel,1,14,2012,2012,0,Emeth (1); Kazuya (1); Lenian (1); Morpheus (1); Zanner (1)
Algen,2,99,2004,2004,4,charis (2); Cloud (2); DarkEyes (2); Dehro (2); Esgaloth (2); Eshtar (2); Loriel (2); Pannha (2); Rhyannor (2); Sekmeth (2); Sultha (2); Thanatos (2); Yaran (2); Ylerei (2); Garildor (1)
Alhia,1,9,2020,2020,0,Blanko (1); Hawn (1); Moradin (1); Olaf (1); Thorck (1); Ylerei (1)
Alicanto,1,4,2014,2014,0,Ariel (1); Elladan (1); merlinho (1); Morgana (1); Nienor (1); Thjarnar (1)
Alicia,3,11,2006,2006,5,Asmira (3); Eufrasia (3); Ascaron (1); Asgard (1); Dalila (1); Darken (1); Desdemona (1); Imloth (1); Kiol (1); merlinho (1); Orghan (1); Zabusa (1)
Alimus,1,4,,,1,Alcalime (1); Aranel (1); Hennet (1); Lindal (1); lLindal (1); Loxis (1)
Alindor,2,10,2006,2006,5,Alcalime (2); Asmira (2); Urs (2)
Alisa,1,7,2006,2006,6,Adhanedhel (1); Aleleres (1); Ambry (1); Aouda (1); Ariel (1); Arthas (1); Arwin (1); Deving (1); Emelaine (1); Ervine (1); Galadriell (1); Ifrid (1); Jose (1); Kenny (1); Lalique (1)
Alistair,8,146,2012,2013,0,Tyrande (3); Euridas (3); Francislake (3); Carcinero (2); Claymore (2); Domino (2); Sterling (2); Ecate (2); Katon (2); Leyana (1); Orione (1); OceaniS (1); Kyrian (1); Arles (1); Huga (1)
Allankot,1,13,2004,2004,3,Felicia (1); FortuneShadow (1); Vahn (1)
Allestra,2,4,2008,2008,3,Aralynn (2); Field (2); Hethil (2); Morpheus (2); Mothgaur (2); Rainor (2); Steel (2)
Allie,1,4,2005,2005,4,Alastor (1); Alexander (1); Ascot (1); Baal (1); Helena (1); Igrey (1); Ireth (1); Kandar (1); Keylan (1); Lance (1); Lantys (1); Lenara (1); Mirodek (1); Morganas (1); Pharsifal (1)
Allison,3,26,2008,2008,1,Aslanner (2); Kyra (2); Malvenis (2); Aisha (1); Bauster (1); Celine (1); Credelia (1); Habel (1); Hennet (1); Kiol (1); Lawrence (1); Mhikal (1); Nicodemus (1); Philippe (1); Sehmeola (1)
Allyrion,2,4,2006,2007,5,Manadriel (2); Archam (1); Cathein (1); Fefalas (1); Lilithas (1); merlinho (1); Ormys (1); Asmira (1); Eufrasia (1)
Almandine,24,228,2025,2026,3,Vahn (11); Francislake (7); Ariel (5); Vosthyl (5); Maseeri (5); Keleldur (4); Urwen (4); Sylvimar (4); Bolvar (3); Adema (3); ThamiorLothain (3); Arphenix (3); Bill (2); Demios (2); Rivka (2)
Almha,1,9,2009,2009,1,Dajemona (1); Francislake (1); Kayla (1); Napple (1)
Alomikael,1,28,2004,2004,3,Arakan (1); Blanko (1); Ghigno (1); Niviel (1); Oona (1); Vahn (1)
Alphonso,3,27,2020,2021,0,Rivka (2); Demios (2); Rephexia (2); Roitare (1); Lenian (1); Lucretia (1); Corinna (1); SiannaLeFair (1); Steel (1); Urwen (1)
Alphos,1,1,2009,2009,7,merlinho (1); Vhelia (1)
Alsen,9,83,2004,2007,4,Asgard (7); Anarion (4); Arwiel (4); Cleryon (4); deargh (4); Hamild (4); Kahzar (4); Krimgor (4); Loriel (4); merlinho (4); Midhriel (4); Teclis (4); Tyreal (4); Unicorn (4); Ireth (3)
Altair,1,3,2012,2012,0,Eventine (1); Quelos (1); Rephexia (1)
Alucadde,5,20,2008,2009,1,Asgard (3); Aslanner (3); Fortescue (3); Heremidas (3); Voltan (3); merlinho (2); Bauster (2); Dajemona (2); Delereth (2); Elimar (2); Jeanne (2); Skan (2); Theon (2); Artemidia (1); Likos (1)
alucard,3,28,2005,2006,2,Gween (1); Kein (1); Ludwigmakart (1); Mirodek (1); Mirokan (1); Onizuka (1); Shana (1); Vahn (1); Adon (1); Anarion (1); Artax (1); Bauster (1); Bortek (1); Christof (1); Desdemona (1)
Alydia,4,56,2013,2013,0,Slythrott (4); Mekylius (2); Thalion (2); Tyrion (2); Arioch (1); Cosme (1); DarkEyes (1); Elimar (1); Kazuya (1); Keleldur (1); Liniol (1); Lomyril (1); Lyzur (1); Naser (1); Rephexia (1)
Alyon,7,56,2007,2009,0,Achitia (2); Catlyn (2); Harriet (2); Nimoe (2); Elimar (2); Gaio (2); Miverniv (2); Talim (2); Bauster (2); Dadox (2); Dareon (2); Dominique (2); Elyen (2); Emile (2); Eventine (2)
Alyosha,9,121,2013,2013,0,Andrey (3); merlinho (3); Claymore (3); Khalux (3); Relenan (2); Laira (2); Barahir (2); Arioch (2); Ailin (1); Maximilian (1); Euphemia (1); Morpheus (1); Ilja (1); Stravogin (1); Deniels (1)
Amalthea,1,7,2020,2020,0,Arioch (1); Enrick (1); Lucretia (1); Rivka (1)
Amande,13,166,2014,2014,0,Aries (4); Claymore (3); Carcinero (3); Luinil (2); Elladan (2); Orione (2); Essedil (2); Zepher (2); Gottardo (1); Rago (1); Alester (1); Francislake (1); Ishaq (1); Katon (1); merlinho (1)
Amaranth,7,47,2002,2014,0,Khalux (4); Morgoth (4); Katon (4); Essedil (3); Francislake (3); Elladan (3); Narcis (3); Luinil (3); Aries (2); Jago (2); Rago (2); Brusjean (1); Thorck (1); Cioccholatee (1); Skan (1)
Ambalar,9,100,2007,2008,2,Aranel (4); Ailin (3); Thorck (3); Aranes (2); Arendhil (2); Anarion (2); Dadox (2); Euridas (2); Ghilbli (2); Izayoi (2); Jeko (2); Mardok (2); Maximilian (2); Vein (2); Flavius (1)
Amberlee,1,10,2012,2012,2,Jeko (1)
Ambra,1,4,2007,2007,1,Blancks (1); Emyride (1); Eriador (1); Ferarius (1); Nightbreeze (1); Rhoan (1); Rost (1); Sahra (1)
Ambry,1,21,2006,2006,6,Adhanedhel (1); Aleleres (1); Alisa (1); Aouda (1); Ariel (1); Arthas (1); Arwin (1); Deving (1); Emelaine (1); Ervine (1); Galadriell (1); Ifrid (1); Jose (1); Kenny (1); Lalique (1)
Amel,1,2,2008,2008,1,Ago (1); Ariel (1); Axia (1); Voltan (1)
Amlach,2,33,2010,2010,0,Akuma (2); Corwin (1); Skan (1); Ada (1); Carcinero (1); Cerden (1); Dargh (1); Ramoth (1); Sekmeth (1); Vhelia (1); Zamir (1)
Amlaric,13,105,2007,2008,2,Catlyn (7); Anarion (6); Maximilian (4); Euridas (3); Steel (3); Bauster (3); Jan (2); Kazuya (2); Desdemona (2); Enrick (2); Kemfret (2); Francislake (1); DarkEyes (1); Adrien (1); Gawyn (1)
Anadyr,1,7,2007,2007,5,Andrej (1); Anduriel (1); Arkaon (1); Christabel (1); Dofa (1); Heleg (1); Laksmi (1); Layla (1); Nahim (1); Niniel (1); Ninksi (1); Odmir (1); Sephirot (1); Shinnok (1); Simshon (1)
Anakin,3,3,2006,2006,5,Arhamir (3); Arphenix (3); Elwing (3); Fibi (3); Fond (3); Janas (3); Langdal (3); merlinho (3); Midhriel (3); Riukkiu (3); Tersicore (3); Thantalas (3); Wizard (3)
Ananke,1,16,2006,2006,4,Aki (1); Dumba (1); Ermengarda (1); Floidua (1); Merenwen (1); Oltar (1); Shimal (1); Spidy (1)
Anarion,63,568,2004,2019,2,Maximilian (14); Catlyn (12); Azhal (12); Elariell (11); Ireth (8); Euridas (8); Dadox (8); Geminah (7); Kahzar (6); Midhriel (6); Amlaric (6); Axia (6); Krimgor (5); merlinho (5); Zanner (5)
Andreas,2,30,2006,2006,5,Ducan (2); Francislake (2); Smiht (2); Tieryn (2)
Andrej,5,38,2007,2007,5,Bea (2); Krusc (2); Laksmi (2); Niniel (2); Ninksi (2); Bartech (1); Daarigraz (1); Glaider (1); Sylen (1); Callisto (1); Sime (1); Anadyr (1); Anduriel (1); Arkaon (1); Christabel (1)
Andres,2,3,2007,2007,5,Iphigenia (2); Ninksi (2); Saarhen (2); Alcalime (1); Arkronis (1); Gaizen (1); Helen (1); merlinho (1); Necangel (1); Seyfer (1); Sirious (1); Vangum (1); Shania (1); Sigmund (1)
Andrex,7,124,2007,2007,5,Elina (6); Gudegar (4); Jas (4); Lizelin (4); Manadriel (4); Myrddinwyllt (4); Ratav (4); merlinho (3); Tinuviel (3); Clery (2); Lukas (2); Saarhen (2); Alcalime (1); Loriel (1); Rigardo (1)
Andrey,16,135,2012,2013,0,Elimar (7); Carcinero (6); Raxiel (5); Regan (5); Relenan (5); Loxis (4); Lionel (4); Claymore (4); Orione (3); Katon (3); Kruvenz (3); Lyzur (3); Shpawn (3); Zakk (3); Alyosha (3)
Andriy,6,18,2008,2013,0,Tinuviel (3); Jeko (2); Kyle (1); Celine (1); Ghilbli (1); Alanna (1); Arioch (1); Khira (1); Musang (1); Nyden (1); Izayoi (1)
Anduriel,3,53,2007,2007,5,Alarion (1); Callisto (1); Norman (1); Anadyr (1); Andrej (1); Arkaon (1); Christabel (1); Dofa (1); Heleg (1); Laksmi (1); Layla (1); Nahim (1); Niniel (1); Ninksi (1); Odmir (1)
Aneesha,2,16,2004,2004,4,Aglae (2); charis (2); Danyfer (2); Esgaloth (2); Ester (2); Finarfin (2); Istar (2); Lucrezia (2); Mynoth (2); Silmarien (2); Ylerei (2)
Angelique,2,39,2006,2006,4,Mateky (2)
Angelius,1,1,2005,2005,0,Bardanes (1); Blanko (1); Kazuya (1); Oplit (1); Steel (1)
Angin,1,2,2012,2012,0,Alexander (1); Carcinero (1); Lalette (1); Loxis (1); Orione (1); Rhyannor (1)
Anirion,2,2,2006,2006,5,Clery (2); Dalila (2); Erion (2); Helen (2); Jas (2); merlinho (2)
Anne,2,6,2007,2007,1,Aranel (1); Argoth (1); Emelaine (1); Likos (1); Sanderx (1); Tieryn (1)
Antarhak,2,10,2012,2012,0,Andrey (2); Elimar (2); Katon (2); Kruvenz (2); Lionel (2); Lyzur (2); Murzgaash (2); Raxiel (2); Regan (2); Relenan (2); Shpawn (2); Zakk (2)
Anthia,1,3,2012,2012,1,Claymore (1); Elyanth (1); merlinho (1)
Anthony,25,343,2004,2008,3,Dehro (8); Melisandre (6); Vahn (6); Tremain (4); Shaenlyr (4); Loriel (4); Sealyan (4); Francislake (4); Mirael (4); Rhyannor (4); Arphenix (3); Gaart (3); Alerik (3); Caidath (3); Isabelle (3)
Anya,4,54,2004,2006,4,Rhyannor (2); Maseeri (2); Vahn (2); Artemisio (1); Drusius (1); Edgewood (1); Elwë (1); Lenian (1); Ombra (1); Onizuka (1); SiannaLeFair (1); Yanur (1); Gween (1); Ireth (1); Laghas (1)
Aouda,2,34,2006,2006,6,Ariel (2); Arwin (2); Emelaine (2); Ervine (2); merlinho (2); Yuman (2); Zingrid (2); Adhanedhel (1); Aleleres (1); Alisa (1); Ambry (1); Arthas (1); Deving (1); Galadriell (1); Ifrid (1)
Arack,1,41,2004,2004,3,Felicia (1); selby (1); Telperion (1); Vahn (1)
Aradael,1,2,2004,2004,4,Asmodeo (1); Cloud (1); Eshtar (1); Kazuya (1); Vahn (1)
Arael,1,13,,,2,Ireth (1); Mothgaur (1)
Arakan,2,13,2004,2004,3,Delroh (1); Zanner (1); Alomikael (1); Blanko (1); Ghigno (1); Niviel (1); Oona (1); Vahn (1)
Aralas,3,22,2008,2008,1,Daerithas (2); Guliem (2); Henriques (2); Herywen (2); Jeanne (2); Kyra (2); Malvenis (2); Asgard (1); Loxis (1); merlinho (1); Ylerei (1)
Aralynn,2,12,2008,2008,3,Allestra (2); Field (2); Hethil (2); Morpheus (2); Mothgaur (2); Rainor (2); Steel (2)
Aranel,88,1377,2007,2009,1,merlinho (39); Ailin (30); Loxis (22); Alcalime (15); Dajemona (14); Skan (12); Fortescue (12); Elimar (8); Geror (8); Hennet (8); Asgard (6); Rhoan (5); Arendhil (5); Valll (5); Ylerei (5)
Aranes,13,140,2008,2008,2,Euridas (10); Ireth (7); Mardok (5); Vein (5); Khael (4); Anarion (3); Azhal (3); Dadox (3); Field (3); Galamir (3); Ghilbli (3); Izayoi (3); Kyle (3); Maximilian (3); Ambalar (2)
Arark,1,1,2025,2025,3,Adema (1); Arphenix (1); Francislake (1); Lancel (1); Sylvimar (1); Vahn (1)
Arcannas,3,55,2004,2004,3,Vahn (3); Fanari (2); GandalfI (2); SonoNeroInferno (2); ThamiorLothain (2); Dakkon (1)
Archam,1,2,2006,2006,5,Allyrion (1); Cathein (1); Fefalas (1); Lilithas (1); Manadriel (1); merlinho (1); Ormys (1)
Archias,1,8,2007,2007,3,Adam (1); Adema (1); Daerithas (1); Syrcusaar (1)
Arden,2,25,,,2,Asmira (1); merlinho (1); Natan (1); Rhyannor (1); Damizza (1); Enrick (1); Galamir (1); Marneus (1); Nordus (1); Phemt (1); Predicatorecaos (1); Raze (1); Seyfer (1)
Areion,16,130,2007,2008,2,Ghilbli (5); Maraviglia (4); Nordus (4); Czarick (4); Ellendal (4); Galamir (4); Nimoe (3); Arentor (3); Gawyn (3); Khael (2); Greed (2); Alcalime (2); Goliath (2); Gwayne (2); Seth (2)
Arendhil,25,225,2006,2012,1,Aranel (5); Rhoan (5); Alcalime (4); merlinho (4); Bohann (3); Eufrasia (3); Icon (3); Khris (3); Killen (3); Langdal (3); Tordek (3); Ulrich (3); Zandak (3); Fortescue (3); Skan (3)
Arenes,1,15,2007,2007,2,Achitia (1); Bill (1); Christof (1); Enrick (1); Jeanne (1); Nicodemus (1); Nimoe (1)
Arentor,7,35,2006,2007,2,Seyfer (4); Goliath (4); Ellendal (4); Galamir (4); Seth (4); Tyrion (3); Areion (3); Czarick (3); Gawyn (3); Ghilbli (3); Gwayne (3); Maraviglia (3); Lyzur (2); Morpheus (2); Kadajong (1)
Ares,1,17,2006,2006,5,Asmira (1); Icon (1); Janas (1); Langdal (1); Miroshi (1); Rhotgar (1); Sintya (1)
Argols,1,10,2005,2005,3,Bardanes (1); Blanko (1); Jargo (1); Maseeri (1); Nimoe (1); Vahn (1); Vandal (1); Xebox (1)
Argoth,3,14,2007,2007,1,Aranel (2); Sanderx (2); Thanya (1); Anne (1); Emelaine (1); Likos (1); Tieryn (1); Alcalime (1); Arendhil (1); Arija (1); Ertai (1); Lendrin (1); Rhoan (1); Suey (1); Xella (1)
Arhamir,8,91,2006,2007,5,Anakin (3); Arphenix (3); Elwing (3); Fibi (3); Fond (3); Janas (3); Langdal (3); merlinho (3); Midhriel (3); Riukkiu (3); Tersicore (3); Thantalas (3); Wizard (3); Axia (3); Ducan (2)
Ariakas,1,5,2005,2005,3,Alerik (1); Enrick (1); Mirael (1); Vahn (1)
Aribethe,1,3,2006,2006,5,Bluetue (1); Done (1); Ismael (1); merlinho (1); Midhriel (1); Wonderela (1)
Ariel,66,964,2006,2026,3,Arphenix (34); Sylvimar (28); Vahn (21); Maseeri (19); Keleldur (16); merlinho (11); Francislake (11); Adema (10); Nefibi (7); Elimar (7); Kiol (7); ThamiorLothain (7); Elyanth (5); Almandine (5); Vosthyl (5)
Ariendehel,3,11,2004,2007,4,Cloud (3); Ella (3); Gween (3); Keleldur (3); Kelen (3); Loki (3); Malduin (3); Sismor (3); Wiliand (3); Xebox (3)
Aries,12,79,2011,2014,0,Luinil (6); Carcinero (5); Katon (5); Essedil (5); Claymore (4); Amande (4); Elladan (4); Alester (3); merlinho (3); Ortenzio (3); Francislake (3); Morgoth (3); Khalux (3); Thamior (2); Thorck (2)
Arija,4,34,2007,2007,1,Elly (1); Giammy (1); Okrim (1); Seth (1); Vangum (1); Blancks (1); Devolt (1); Gerith (1); Gwayne (1); Mekylius (1); Vahn (1); Alcalime (1); Aranel (1); Arendhil (1); Argoth (1)
Arioch,114,1022,2005,2025,0,Elimar (31); Khalux (20); Vahn (11); Adema (10); Francislake (10); Khira (10); Gamuran (9); Dajemona (9); Tarik (9); Ailin (8); Domino (8); Euridas (8); Stige (7); Skan (7); Thalion (7)
Arius,1,0,2008,2008,3,Blanko (1); Drusius (1); Vahn (1)
Arkaon,1,1,2007,2007,5,Anadyr (1); Andrej (1); Anduriel (1); Christabel (1); Dofa (1); Heleg (1); Laksmi (1); Layla (1); Nahim (1); Niniel (1); Ninksi (1); Odmir (1); Sephirot (1); Shinnok (1); Simshon (1)
Arkham,1,8,2012,2012,0,Gnareor (1); Kruvenz (1); Lyzur (1); Murzgaash (1); Shpawn (1); Thorck (1); Zakk (1)
Arkhemos,1,1,2007,2007,1,Ago (1); Baltor (1); Bea (1); deargh (1); Dofa (1); Ellenroh (1); Ercoca (1); Eufrasia (1); Genji (1); Gudegar (1); Han (1); Lieeru (1); Loxis (1); Rost (1); Tersicore (1)
Arkronis,1,6,2007,2007,5,Alcalime (1); Andres (1); Gaizen (1); Helen (1); Iphigenia (1); merlinho (1); Necangel (1); Ninksi (1); Saarhen (1); Seyfer (1); Sirious (1); Vangum (1)
Arles,9,108,2010,2013,0,Domino (6); Ada (2); Jago (2); Slythrott (2); Khalux (2); Arioch (2); Dareon (1); Edwar (1); Elyen (1); Mendar (1); Yehezqel (1); Alistair (1); Claymore (1); Ecate (1); Euridas (1)
Arn,1,13,2007,2007,1,Ailin (1)
Arphenix,58,775,2004,2025,3,Ariel (34); Sylvimar (26); Vahn (19); Francislake (13); Maseeri (12); Adema (10); merlinho (9); Kiol (8); Keleldur (8); Elyanth (7); Elimar (7); Norman (6); Catlyne (4); Ylerei (4); Asgard (4)
Arses,2,6,2008,2008,2,Kahzar (1); Shimal (1); Drak (1); Yurian (1)
Artax,6,41,2006,2019,2,Sikorax (3); Enrick (2); Nyden (2); Zanner (2); Anarion (2); Desdemona (2); Gwayne (2); Kiol (2); knives (2); Tiran (2); Arioch (1); Cornelius (1); Quetzacoatl (1); Rhyannor (1); Vintze (1)
Artemidia,2,19,2008,2008,1,Nohel (2); Selen (2); Alucadde (1); Likos (1); merlinho (1); Mossflower (1); Oigamed (1); Shimal (1); Tibor (1)
